timeStamp,availableMW,windSpeed,windPower
2018-12-01 21:20,97.2,4.7,4.75351
2018-12-01 21:25,97.2,4.5,3.00625
2018-12-01 21:30,97.2,4.5,3.00625
2018-12-01 21:35,97.2,4.5,3.00625
2018-12-01 21:40,97.2,4.5,3.00625
2018-12-01 21:45,97.2,4.4,2.19283
2018-12-01 21:50,97.2,4.4,2.19283
2018-12-01 21:55,97.2,4.2,0.807042
2018-12-01 22:00,97.2,4.2,0.807042
2018-12-01 22:05,97.2,4.3,1.44922
2018-12-01 22:10,97.2,4.3,1.44922
2018-12-01 22:15,97.2,4.3,1.44922
2018-12-01 22:20,97.2,4.3,1.44922
2018-12-01 22:25,97.2,4.2,0.807042
2018-12-01 22:30,97.2,4.2,0.807042
2018-12-01 22:35,97.2,4.2,0.807042
2018-12-01 22:40,97.2,4.2,0.807042
2018-12-01 22:45,97.2,3.9,0
2018-12-01 22:50,97.2,3.9,0
2018-12-01 22:55,97.2,4.4,2.19283
2018-12-01 23:00,97.2,4.4,2.19283
2018-12-01 23:05,97.2,4.4,2.19283
2018-12-01 23:10,97.2,4.4,2.19283
2018-12-01 23:15,97.2,4.5,3.00625
2018-12-01 23:20,97.2,4.5,3.00625
2018-12-01 23:25,97.2,4.3,1.44922
2018-12-01 23:30,97.2,4.3,1.44922
2018-12-01 23:35,97.2,4.6,3.86562
2018-12-01 23:40,97.2,4.6,3.86562
2018-12-01 23:45,97.2,4.8,5.65763
2018-12-01 23:50,97.2,4.8,5.65763
2018-12-01 23:55,97.2,4.3,1.44922
2018-12-02 00:00,97.2,4.3,1.44922
