farm,availableMW,y,windspeed,speed_rolling_lag,speed_rolling_n,windDic_cat,season,preds
A,9.0,15.8753,19.636492395340042,23.340887856438794,13.956895306322858,SE,Winter,4.705467
A,11.2,18.7532,19.129287926874934,23.01092382396369,13.562636050433033,SE,Winter,5.413207
A,10.5,18.7532,18.622083458409822,22.674411952000813,13.181691262991814,SE,Winter,4.71148
A,11.6,18.0094,18.114878989944714,22.331352240550164,12.814060943999202,SE,Winter,4.68744
A,12.0,18.0094,17.607674521479602,21.981744689611734,12.459745093455195,SE,Winter,4.342562
A,12.0,14.5453,17.100470053014494,21.625589299185535,12.118743711359796,SE,Winter,3.8283997
A,12.0,14.5453,16.593265584549385,21.26288606927156,11.791056797713003,SE,Winter,3.3128526
A,12.0,9.11529,16.086061116084274,20.893634999869807,11.476684352514814,SE,Winter,2.7959237
A,12.0,9.11529,15.578856647619164,20.51783609098028,11.175626375765233,SE,Winter,2.4330306
A,9.0,7.04444,15.071652179154055,20.135489342602977,10.887882867464258,SE,Winter,1.6519772
A,9.0,7.04444,14.564447710688945,19.746594754737902,10.61345382761189,SE,Winter,1.5774074
A,6.3,7.834960000000001,14.20324685668277,19.353924494091945,10.34870175723934,SE,Winter,1.3278806
A,6.0,7.834960000000001,13.842046002676593,18.95747856066511,10.093626656346606,SE,Winter,1.3278806
A,9.0,8.67424,13.480845148670417,18.55725695445739,9.848228524933688,SE,Winter,1.3628283
A,9.0,8.67424,13.119644294664242,18.153259675468792,9.612507363000587,SE,Winter,1.3278806
A,11.0,11.0495,12.758443440658066,17.745486723699315,9.386463170547303,SE,Winter,1.3902726
A,10.5,11.0495,12.39724258665189,17.333938099148956,9.170095947573838,SE,Winter,1.3278806
A,15.0,6.66448,12.036041732645714,16.918613801817717,8.963405694080189,SE,Winter,1.358123
A,15.0,6.66448,11.674840878639538,16.499513831705595,8.766392410066354,SE,Winter,1.3385001
A,10.5,5.2253300000000005,11.313640024633363,16.07663818881259,8.579056095532339,SE,Winter,1.3278806
A,10.5,4.88318,10.952439170627185,15.64998687313871,8.40139675047814,SE,Winter,1.3278806
A,13.5,4.88318,10.59123831662101,15.219559884683948,8.233414374903758,SE,Winter,1.3278806
A,13.5,4.54801,10.230037462614835,14.785357223448306,8.075108968809191,SE,Winter,1.3278806
A,17.9,3.00493,10.042380236916275,14.36446903066127,7.929053910928325,SE,Winter,1.4150909
A,19.5,3.00493,9.854723011217715,13.95689530632284,7.795249201261158,SE,Winter,1.4659369
A,18.8,2.0098599999999998,9.667065785519155,13.562636050433014,7.67369483980769,SE,Winter,1.4262799
A,19.5,2.0098599999999998,9.479408559820595,13.181691262991796,7.56439082656792,SE,Winter,1.4399924
A,19.4,1.4329100000000001,9.291751334122035,12.814060943999182,7.46733716154185,SE,Winter,1.4247279
A,19.5,1.2598200000000002,9.104094108423473,12.459745093455176,7.382533844729479,S,Winter,1.3278806
A,21.0,2.2335,8.916436882724915,12.118743711359777,7.309980876130806,S,Winter,1.4718833
A,21.0,2.2335,8.728779657026354,11.791056797712983,7.249678255745832,S,Winter,1.5148697
A,21.0,1.2598200000000002,8.541122431327794,11.476684352514795,7.201625983574558,S,Winter,1.5584264
A,21.0,1.2598200000000002,8.353465205629234,11.175626375765214,7.165824059616983,S,Winter,1.6001003
A,21.1,1.08366,8.165807979930674,10.88788286746424,7.142272483873107,S,Winter,1.6505541
A,21.0,1.08366,7.978150754232114,10.613453827611872,7.130971256342931,S,Winter,1.6762295
