farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,preds
A,7.0,40.4191,29.13799889611124,31.956892609978112,30.94236910614825,21.260180666621725,25.50664844725452,SE,Winter,22.18737
A,9.0,40.4191,28.930117850599572,31.853620235794697,30.811015164863154,20.89033214314033,25.20677854353497,SE,Winter,22.731514
A,15.9,39.9353,28.7222368050879,31.74680536068062,30.67287144917084,20.514946232472955,24.904295987242367,SE,Winter,28.074177
A,18.0,39.7497,28.514355759576226,31.636447984635875,30.527937959071313,20.13402293461959,24.59920077837671,SE,Winter,29.150011
A,17.3,39.7497,28.306474714064553,31.522548107660466,30.376214694564567,19.753520966345672,24.291492916937994,SE,Winter,26.595112
A,15.0,39.7497,28.098593668552883,31.405105729754393,30.217701655650604,19.37344032765119,23.981172402926216,SE,Winter,22.255243
A,8.7,37.9277,27.748537347794375,31.282616698792054,30.049150646384884,18.99674300343712,23.665701084344423,SE,Winter,14.430967
A,9.0,37.9277,27.398481027035864,31.155081014773454,29.8705616667674,18.623428993703474,23.345078961192616,SE,Winter,13.113569
A,4.9,35.8697,27.048424706277356,31.02249867769859,29.681934716798157,18.253498298450236,23.019306033470794,SE,Winter,7.787639
A,4.5,35.8697,26.698368385518844,30.88486968756746,29.483269796477156,17.886950917677417,22.688382301178958,SE,Winter,6.3051696
A,2.9,30.3976,26.348312064760336,30.742194044380074,29.274566905804388,17.523786851385015,22.352307764317104,SE,Winter,4.7343907
A,1.5,29.671999999999997,25.99825574400183,30.594471748136428,29.055826044779863,17.164006099573026,22.011082422885234,SE,Winter,3.6315184
A,4.9,31.104,25.64819942324332,30.441702798836516,28.827047213403578,16.807608662241453,21.664706276883347,SE,Winter,4.3285646
A,6.0,31.7893,25.29814310248481,30.28388719648034,28.58823041167553,16.454594539390296,21.313179326311445,SE,Winter,4.206727
A,11.8,38.8381,24.9480867817263,30.1210249410679,28.33937563959572,16.104963731019556,20.95650157116953,SE,Winter,6.258767
A,13.5,39.3313,24.59803046096779,29.9531160325992,28.080482897164156,15.758716237129228,20.594673011457594,SE,Winter,6.1183887
A,24.0,40.4191,24.247974140209283,29.78016047107424,27.811552184380826,15.417075050202817,20.227693647175645,SE,Winter,14.445237
A,24.0,39.3313,23.897917819450775,29.602158256493016,27.532583501245735,15.080040170240322,19.855563478323685,SE,Winter,12.908413
A,18.0,31.7893,23.62733311218573,29.419454828421653,27.251002165537585,14.745955938627292,19.47497118767281,SE,Winter,6.9822173
A,18.0,31.7893,23.35674840492069,29.232050186860153,26.966808177256382,14.414822355363732,19.08591677522303,SE,Winter,6.0309014
A,16.1,30.3976,23.086163697655646,29.039944331808517,26.680001536402116,14.086639420449643,18.688400240974335,SE,Winter,3.6848283
A,15.0,30.3976,22.815578990390605,28.843137263266744,26.390582242974798,13.76140713388502,18.282421584926734,SE,Winter,2.4675195
A,15.4,33.7013,22.54499428312556,28.641628981234835,26.09855029697442,13.439125495669865,17.86798080708022,SE,Winter,2.1166244
A,16.5,33.7013,22.274409575860517,28.43541948571279,25.803905698400985,13.119794505804178,17.445077907434797,SE,Winter,2.0625386
A,13.9,29.671999999999997,22.003824868595473,28.224508776700606,25.506648447254502,12.803414164287958,17.013712885990465,SE,Winter,0.881766
A,13.5,29.671999999999997,21.733240161330432,28.008896854198287,25.206778543534952,12.48998447112121,16.57388574274722,SE,Winter,0.606046
A,13.5,28.9291,21.462655454065388,27.78858371820583,24.90429598724235,12.179505426303926,16.125596477705066,SE,Winter,0.4829107
A,13.5,28.9291,21.192070746800347,27.563569368723236,24.599200778376687,11.871977029836112,15.668845090864004,SE,Winter,0.49436718
A,13.5,23.4385,20.921486039535303,27.333853805750504,24.291492916937973,11.572301463341114,15.21554901575488,SE,Winter,0.46532077
A,13.5,23.4385,20.650901332270262,27.099437029287632,23.981172402926195,11.280478726818936,14.76570825237769,SE,Winter,0.43774074
