farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,change_lag,change_n,windDic_cat,season,Months,windspeed_cat,preds
A,9.0,15.8753,318.53794285046183,393.52086745260993,358.4460732145954,221.61308626028116,253.6967435255209,-0.11133649758311415,-0.20355879348219663,SE,Winter,Dec,very_high,19.417973
A,11.2,18.7532,313.2261218548865,390.73183340638974,354.9164808501511,218.88518070569194,249.32978230956942,-0.11746526646325739,-0.203994287471718,SE,Winter,Dec,very_high,16.850468
A,10.5,18.7532,307.91430085931114,387.85589534868586,351.3182715748,216.29122610931893,245.10234768051973,-0.12354601006354893,-0.2039916723695493,SE,Winter,Dec,very_high,15.119494
A,11.6,18.0094,302.6024798637359,384.8930532794984,347.651445388542,213.83122247116214,241.01443963837173,-0.12958083771076667,-0.2035278767480614,SE,Winter,Dec,very_high,12.875029
A,12.0,18.0094,297.2906588681605,381.8433071988273,343.9160022913772,211.50516979122153,237.06605818312548,-0.13557189288247817,-0.2025781802708535,SE,Winter,Dec,very_high,10.89657
A,12.0,14.5453,291.9788378725851,378.7066571066726,340.1119422833055,209.31306806949715,233.257203314781,-0.1415213593723993,-0.2011160637040047,SE,Winter,Dec,very_high,9.04796
A,12.0,14.5453,286.6670168770098,375.4831030030343,336.2392653643271,207.25491730598893,229.5878750333383,-0.14743146798635787,-0.19911304225194648,SE,Winter,Dec,very_high,7.3493724
A,12.0,9.11529,281.3551958814345,372.1726448879123,332.29797153444184,205.33071750069692,226.05807333879736,-0.15330450383964278,-0.19653848001420893,SE,Winter,Dec,very_high,5.737154
A,12.0,9.11529,276.0433748858591,368.7752827613067,328.2880607936497,203.52168596204902,222.63023284801386,-0.1591428143365523,-0.1934954680942117,SE,Winter,Dec,very_high,4.382202
A,6.3,7.8349600000000015,260.7363614257408,365.08278344687284,323.7930667892615,202.05020808386584,219.7840175580999,-0.19474384052997873,-0.15706418408122336,SE,Winter,Dec,very_high,2.923137
A,6.0,7.8349600000000015,256.9545591522352,361.3540382025706,319.33077203719694,200.6761752997596,217.0392103362799,-0.19533417492785787,-0.15534010740127435,SE,Winter,Dec,very_high,2.3483443
A,9.0,8.67424,253.1727568787296,357.5918203027097,314.8289107986138,199.39958760973025,214.3958111825539,-0.19584019067208125,-0.15316397456915143,SE,Winter,Dec,very_high,1.5133495
A,9.0,8.67424,249.3909546052241,353.7961297472902,310.287483073512,198.22044501377786,211.8538200969219,-0.19625841128067856,-0.15051522044062093,SE,Winter,Dec,very_high,1.1081377
A,11.0,11.0495,245.60915233171843,349.9669665363121,305.7064888618916,197.13874751190238,209.41323707938383,-0.19658508641379613,-0.14737201325237503,SE,Winter,Dec,very_high,0.76512086
A,10.5,11.0495,241.82735005821291,346.1043306697754,301.08592816375267,196.15449510410386,207.07406212993973,-0.19681616629160625,-0.1437111555823084,SE,Winter,Dec,very_high,0.72049934
A,15.0,6.66448,238.04554778470728,342.2082221476799,296.4258009790951,195.2676877903823,204.8362952485896,-0.19694727315084481,-0.1395079758691926,SE,Winter,Dec,very_high,0.83003885
A,15.0,6.66448,234.26374551120168,338.27864097002595,291.72610730791894,194.47832557073767,202.69993643533346,-0.19697366933315075,-0.13473620942494047,SE,Winter,Dec,very_high,1.023239
A,10.5,5.2253300000000005,230.48194323769613,334.31558713681324,286.98684715022415,193.78640844517,200.66498569017128,-0.1968902215332201,-0.12936786773259112,SE,Winter,Dec,very_high,0.91350776
A,10.5,4.88318,226.7001409641905,330.319060648042,282.2080205060108,193.19193641367926,198.73144301310302,-0.19669136065761839,-0.12337309466210433,SE,Winter,Dec,very_high,1.1143653
A,13.5,4.88318,222.9183386906849,326.28906150371205,277.38962737527885,192.69490947626545,196.89930840412876,-0.19637103665343647,-0.11672000805038918,SE,Winter,Dec,very_high,1.5330569
A,13.5,4.54801,218.2349672217173,322.20680701225143,272.49410237488405,192.29532763292855,195.1685818632485,-0.19912040180054857,-0.10569518557048818,SE,Winter,Dec,very_high,1.775575
A,17.9,3.00493,216.27178431178405,318.1289677686399,267.63478669478616,191.95535841938533,193.56623065189888,-0.19191452283658883,-0.1049862039661732,SE,Winter,Dec,very_high,2.105143
A,19.5,3.00493,214.30860140185078,314.0743264644496,262.84924571812945,191.67500183563584,192.0922547700799,-0.1846710428392555,-0.10366521215876412,SE,Winter,Dec,very_high,2.3049366
A,18.8,2.00986,212.3454184919175,310.0551399982567,258.20323132837444,191.45425788168004,190.74665421779164,-0.1776035590280296,-0.10171523561714135,SE,Winter,Dec,very_high,2.380576
A,19.5,2.00986,210.38223558198428,306.0714083700614,253.6967435255212,191.29312655751787,189.52942899503407,-0.17073340138944126,-0.09911866621848897,SE,Winter,Dec,very_high,2.4557796
A,19.4,1.43291,208.41905267205104,302.12313157986347,249.32978230956974,191.19160786314941,188.4405791018071,-0.16408280334005032,-0.09585723240801902,SE,Winter,Dec,very_high,2.4899392
A,19.5,1.2598200000000002,206.45586976211783,298.21030962766304,245.10234768052,191.14970179857463,187.4801045381108,-0.1576748582138272,-0.09191196765619336,SE,Winter,Dec,very_high,2.5420134
A,21.0,2.2335,204.49268685218456,294.33294251346007,241.014439638372,191.16740836379356,186.64800530394515,-0.15153346347623897,-0.08726317709903364,SE,Winter,Dec,very_high,2.5898383
A,21.0,2.2335,202.52950394225127,290.49103023725456,237.06605818312576,191.24472755880615,185.94428139931014,-0.1456832517719434,-0.08189040223823485,SE,Winter,Dec,very_high,2.5623202
A,21.0,1.2598200000000002,200.566321032318,286.6845727990465,233.25720331478132,191.3816593836124,185.3689328242058,-0.14014950800188952,-0.07577238356814342,SE,Winter,Dec,very_high,2.5198305
A,21.0,1.2598200000000002,198.60313812238473,282.91357019883594,229.5878750333386,191.5782038382124,184.92195957863217,-0.13495807174684005,-0.06888702098615307,SE,Winter,Dec,very_high,2.456163
A,21.1,1.08366,196.63995521245155,279.1780224366228,226.05807333879764,191.83436092260607,184.6033616625892,-0.13013522451045834,-0.061211331831610205,SE,Winter,Dec,very_high,2.386072
A,21.0,1.08366,193.77520310705617,275.45914682083503,222.63023284801417,192.15013063679342,184.41313907607687,-0.1296096642932446,-0.04831404576470488,S,Winter,Dec,very_high,1.7229985
A,20.5,1.61208,192.4271944678059,271.78854217368394,219.7840175581002,192.53463085745014,184.31639860962446,-0.12447139420891917,-0.042149946012638106,S,Winter,Dec,very_high,1.7380186
A,19.5,1.61208,191.07918582855567,268.1849911867417,217.0392103362802,192.98786158457628,184.31314026323193,-0.11960983670877778,-0.035409642007761755,S,Winter,Dec,very_high,1.6905121
A,23.5,2.00986,189.73117718930536,264.6123609905871,214.3958111825542,193.50982281817176,184.40336403689926,-0.11504251812199517,-0.028080852242276633,S,Winter,Dec,very_high,1.8238689
A,24.0,2.00986,188.38316855005505,261.0706515852202,211.8538200969222,194.1005145582366,184.58706993062654,-0.11078701123316737,-0.02015094367849457,S,Winter,Dec,very_high,1.8330566
A,29.4,3.00493,187.03515991080477,257.559862970641,209.41323707938412,194.75993680477086,184.86425794441377,-0.10686085311835514,-0.011606919081023515,S,Winter,Dec,very_high,2.175154
A,28.5,3.29181,185.68715127155448,254.07999514684948,207.07406212994002,195.4880895577745,185.23492807826085,-0.10328145707097369,-0.0024354037971765496,S,Winter,Dec,very_high,2.104251
A,30.1,3.90096,184.33914263230417,250.63104811384562,204.8362952485899,196.28497281724745,185.69908033216782,-0.10006601901977541,0.007377368042642329,S,Winter,Dec,very_high,2.2246492
A,30.0,3.90096,182.99113399305395,247.21302187162942,202.69993643533374,197.1505865831899,186.25671470613472,-0.09723141895788101,0.01784556793448111,S,Winter,Dec,very_high,2.190324
A,33.0,3.591,181.64312535380364,243.82591642020097,200.66498569017156,198.166224841905,186.90783120016147,-0.09479411802185478,0.028983788052001636,S,Winter,Dec,very_high,2.5734684
A,33.0,3.591,180.29511671455336,240.46973175956018,198.73144301310333,199.23181091551737,187.65242981424817,-0.09277005198082511,0.0408070569728356,S,Winter,Dec,very_high,2.6105132
A,30.0,3.00493,178.94710807530305,237.14446788970704,196.89930840412907,200.3029527972029,188.49051054839478,-0.09117452201497711,0.05333085611573973,S,Winter,Dec,very_high,2.0613258
A,30.0,3.00493,176.69753024059074,233.8313421190695,195.16858186324882,201.39843317853365,189.42207340260128,-0.0946415219412744,0.07201313535443798,SW,Winter,Dec,very_high,2.5154026
A,30.9,4.54801,177.81535523939337,230.60050867334576,193.5662306518992,202.4480978338114,190.3444861868645,-0.08137202113953179,0.07046146791205476,SW,Winter,Dec,very_high,2.6660297
A,31.5,4.54801,178.933180238196,227.4707502441079,192.09225477008022,203.45194676303618,191.2577489011844,-0.06850393082029582,0.06887805071469666,SW,Winter,Dec,very_high,2.776451
A,34.2,5.57428,180.05100523699866,224.47494277308627,190.74665421779196,204.409979966208,192.16186154556104,-0.056072537810184286,0.06726347510596242,SW,Winter,Dec,very_high,3.0262895
A,34.5,5.57428,181.16883023580132,221.61308626028085,189.52942899503435,205.32219744332687,193.0568241199944,-0.044112404092411794,0.06561831783491767,SW,Winter,Dec,very_high,3.0203276
A,34.5,4.2203300000000015,182.28665523460387,218.88518070569162,188.4405791018074,206.18859919439274,193.9426366244844,-0.032657105473438364,0.06394314150357983,SW,Winter,Dec,very_high,2.965958
A,34.5,4.2203300000000015,183.4044802334066,216.29122610931861,187.48010453811108,207.00918521940568,194.81929905903118,-0.021738969661583396,0.062238494998037686,SW,Winter,Dec,very_high,2.909514
A,34.5,5.93015,184.52230523220916,213.83122247116182,186.64800530394544,207.78395551836562,195.68681142363462,-0.011388817513879657,0.060504913903908,SW,Winter,Dec,very_high,2.847121
A,34.5,5.93015,185.64013023101182,211.50516979122122,185.94428139931043,208.5129100912726,196.54517371829482,-0.0016357113325009554,0.05874292090677091,SW,Winter,Dec,very_high,2.7913458
A,34.5,5.93015,186.75795522981443,209.31306806949684,185.36893282420613,209.1960489381266,197.39438594301168,0.007493285872911537,0.056953026178234945,SW,Winter,Dec,very_high,2.7387526
A,34.5,5.93015,187.87578022861706,207.25491730598864,184.92195957863248,209.81458936735552,198.23444809778528,0.01597333630205533,0.0551357277482134,SW,Winter,Dec,very_high,2.6921713
A,34.5,4.2203300000000015,188.9936052274197,205.33071750069664,184.6033616625895,210.45728344751785,199.06536018261556,0.023782034765187587,0.05329151186399317,SW,Winter,Dec,very_high,2.6525528
A,34.5,4.2203300000000015,189.20986103076027,203.52168596204874,184.4131390760772,211.14291387018568,199.88712219750258,0.02601073859875158,0.056430785946227635,SW,Winter,Dec,very_high,2.6206067
A,34.5,4.2203300000000015,190.10542327294763,202.05020808386553,184.31639860962477,211.85732841788305,200.75286310526846,0.03140808255256666,0.05600808040617311,SW,Winter,Dec,very_high,2.588711
A,34.5,4.2203300000000015,191.00098551513503,200.67617529975928,184.3131402632322,212.60052709060997,201.66258290591318,0.036285233067763656,0.055819593611119434,SW,Winter,Dec,very_high,2.5547917
A,34.5,4.54801,191.89654775732237,199.39958760972993,184.40336403689957,213.37250988836647,202.6162815994368,0.04063474524750754,0.05586204633379288,SW,Winter,Dec,very_high,2.5217593
A,34.5,4.54801,192.79210999950973,198.22044501377755,184.58706993062685,214.17327681115248,203.61395918583924,0.04445078451034834,0.056132220277878675,SW,Winter,Dec,very_high,2.4892528
A,34.5,4.54801,193.6876722416971,197.1387475119021,184.86425794441405,215.00282785896806,204.65561566512054,0.04772915216491502,0.05662695666937889,SW,Winter,Dec,very_high,2.4545896
A,34.5,4.54801,194.5832344838844,196.15449510410357,185.23492807826116,215.86116303181316,205.7412510372807,0.050467298487430146,0.0573431548868637,SW,Winter,Dec,very_high,2.4174733
A,34.5,4.2203300000000015,195.4787967260718,195.26768779038198,185.69908033216814,216.74828232968778,206.87086530231977,0.05266432325033743,0.05827777112937671,SW,Winter,Dec,very_high,2.381091
