farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,Months,windspeed_cat,preds
A,36.0,11.0495,18.982330373257735,17.92154100602888,18.860895485461317,19.282714852219474,19.681661491190127,SW,Winter,Dec,low,3.1283867
A,36.0,11.0495,19.17496443434728,17.98441003958258,18.909678080539482,19.264649119859744,19.678612689776127,SW,Winter,Dec,low,3.1024463
A,36.0,11.0495,19.367598495436816,18.049713994226305,18.95961023331183,19.239510417974397,19.66529342112575,SW,Winter,Dec,low,3.0760858
A,36.0,11.0495,19.560232556526355,18.117452869960044,19.01069194377836,19.207298746563435,19.64104299011544,SW,Winter,Dec,low,3.0503352
A,36.0,11.0495,19.7528666176159,18.187626666783803,19.06292321193907,19.16801410562686,19.607797892177107,SW,Winter,Dec,low,3.0246418
A,36.0,11.0495,19.945500678705436,18.260235384697584,19.11630403779396,19.121656495164668,19.565558127310755,SW,Winter,Dec,low,2.9956293
A,36.3,10.5384,20.13813473979497,18.33527902370138,19.170834421343027,19.06663704034432,19.514323695516378,SW,Winter,Dec,low,3.0156856
A,36.0,10.5384,20.330768800884513,18.41275758379519,19.226514362586276,19.016101581366552,19.454094596793983,SW,Winter,Dec,low,2.9349256
A,34.5,8.24788,20.52340286197406,18.492671064979024,19.26959013848793,18.970050118231356,19.38487083114357,SW,Winter,Dec,low,2.7547016
A,34.5,8.24788,20.639770931101424,18.573430592420333,19.31381547208377,18.930071525771286,19.30983014823022,SW,Winter,Dec,low,2.7370381
A,33.0,5.93015,20.49742018344356,18.64964619076942,19.355920874328763,18.90155577933603,19.239752498753322,SW,Winter,Dec,low,2.5932188
A,33.0,5.93015,20.35506943578569,18.722906734858835,19.395906345222905,18.884502878925588,19.174637882712883,SW,Winter,Dec,low,2.6017852
A,33.0,5.93015,20.21271868812782,18.7916186601219,19.433771884766198,18.878912824539963,19.111308550443805,SW,Winter,Dec,low,2.6087162
A,33.0,5.93015,20.07036794046995,18.85578196655862,19.46951749295864,18.88478561617915,19.056408207286697,SW,Winter,Dec,low,2.6144445
