timeStamp,windDic (degree),windSpeed_5min,availableMW,farm,prediction
1/1/2019 13:40,,13.53990813,99,B,101.6659088
1/1/2019 13:45,,13.69527412,99,B,102.3078156
1/1/2019 13:50,,13.85064011,99,B,102.8070374
1/1/2019 13:55,,14.0060061,99,B,103.2437668
1/1/2019 14:00,133.6816667,14.14613578,99,B,103.6533203
1/1/2019 14:05,,14.16704422,99,B,103.3672867
1/1/2019 14:10,,14.18795266,99,B,103.0542908
1/1/2019 14:15,,14.20886111,99,B,102.7539902
1/1/2019 14:20,,14.22976955,99,B,102.5511932
1/1/2019 14:25,,14.250678,99,B,102.3347015
1/1/2019 14:30,,14.27158644,99,B,102.086731
1/1/2019 14:35,,14.29249489,99,B,101.8936615
1/1/2019 14:40,,14.31340333,99,B,101.7478333
1/1/2019 14:45,,14.33431177,99,B,101.4282684
1/1/2019 14:50,,14.35522022,99,B,101.0682449
1/1/2019 14:55,,14.37612866,99,B,100.6690369
1/1/2019 15:00,127.6753333,14.38180079,99,B,100.1815186
1/1/2019 15:05,,14.36568311,99,B,99.58786774
1/1/2019 15:10,,14.34956543,99,B,98.89939117
1/1/2019 15:15,,14.33344774,99,B,98.1730957
1/1/2019 15:20,,14.31733006,99,B,97.44204712
1/1/2019 15:25,,14.30121238,99,B,96.6951828
1/1/2019 15:30,,14.2850947,99,B,96.0493927
1/1/2019 15:35,,14.26897701,99,B,95.41099548
1/1/2019 15:40,,14.25285933,99,B,94.829422
1/1/2019 15:45,,14.23674165,99,B,94.07077789
1/1/2019 15:50,,14.22062396,99,B,93.27557373
1/1/2019 15:55,,14.20450628,99,B,92.54613495
1/1/2019 16:00,123.1926667,14.17315228,99,B,91.77148438
1/1/2019 16:05,,14.07174173,99,B,90.83195496
1/1/2019 16:10,,13.97033117,99,B,89.74104309
1/1/2019 16:15,,13.86892062,99,B,88.67631531
1/1/2019 16:20,,13.76751006,99,B,87.82789612
1/1/2019 16:25,,13.6660995,99,B,87.20063782
1/1/2019 16:30,,13.56468895,99,B,86.51560974
1/1/2019 16:35,,13.46327839,99,B,85.85765076
1/1/2019 16:40,,13.36186784,99,B,85.24694061
1/1/2019 16:45,,13.26045728,99,B,84.60377502
1/1/2019 16:50,,13.15904673,99,B,83.86474609
1/1/2019 16:55,,13.05763617,99,B,83.03829193
1/1/2019 17:00,122.467,12.9409893,99,B,82.35746765
1/1/2019 17:05,,12.78969446,99,B,81.58448792
1/1/2019 17:10,,12.63839962,99,B,80.79176331
1/1/2019 17:15,,12.48710478,99,B,79.89627075
1/1/2019 17:20,,12.33580994,99,B,78.92987061
1/1/2019 17:25,,12.1845151,99,B,77.95611572
1/1/2019 17:30,,12.03322025,99,B,77.03569031
1/1/2019 17:35,,11.88192541,99,B,76.06944275
1/1/2019 17:40,,11.73063057,99,B,75.15206909
1/1/2019 17:45,,11.57933573,99,B,74.27232361
1/1/2019 17:50,,11.42804089,99,B,73.29832458
1/1/2019 17:55,,11.27674605,99,B,72.24710083
1/1/2019 18:00,113.63225,11.11021489,99,B,70.8765564
1/1/2019 18:05,,10.8803739,99,B,72.50545502
1/1/2019 18:10,,10.65053291,99,B,70.73566437
1/1/2019 18:15,,10.42069192,99,B,65.57981873
1/1/2019 18:20,,10.19085094,99,B,63.816185
1/1/2019 18:25,,9.961009945,99,B,62.09552383
1/1/2019 18:30,,9.731168956,99,B,60.33779144
1/1/2019 18:35,,9.501327966,99,B,58.72527695
1/1/2019 18:40,,9.271486977,99,B,57.27651978
